Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ExperimentSRX	ControlName	Raw	SampleName	Library	Concat
A549	H3K4me1	dex	8h	rep2	1	U	SRR5093454	SRX2410280	SRX2410203.2	A549.H3K4me1.dex.8h.rep2	A549.H3K4me1.dex.8h	Single	A549.H3K4me1.dex.8h.rep2.U
A549	H3K4me1	dex	8h	rep3	1	U	SRR5093455	SRX2410281	SRX2410204.3	A549.H3K4me1.dex.8h.rep3	A549.H3K4me1.dex.8h	Single	A549.H3K4me1.dex.8h.rep3.U
A549	H3K4me3	dex	8h	rep1	1	U	SRR5093024	SRX2409857	SRX2410202.1	A549.H3K4me3.dex.8h.rep1	A549.H3K4me3.dex.8h	Single	A549.H3K4me3.dex.8h.rep1.U
A549	H3K4me3	dex	8h	rep2	1	U	SRR5093025	SRX2409858	SRX2410203.2	A549.H3K4me3.dex.8h.rep2	A549.H3K4me3.dex.8h	Single	A549.H3K4me3.dex.8h.rep2.U
LNCaP	POLR2A	etoh	-	rep1	1	U	SRR643598	SRX213866	SRX213872.1	LNCaP.POLR2A.etoh.-.rep1	LNCaP.POLR2A.etoh.-	Single	LNCaP.POLR2A.etoh.-.rep1.U
LNCaP	POLR2A	dht	-	rep1	1	U	SRR643599	SRX213867	SRX213872.1	LNCaP.POLR2A.dht.-.rep1	LNCaP.POLR2A.dht.-	Single	LNCaP.POLR2A.dht.-.rep1.U
LNCaP	POLR2A	etoh	-	rep2	1	U	SRR643601	SRX213869	SRX213872.1	LNCaP.POLR2A.etoh.-.rep2	LNCaP.POLR2A.etoh.-	Single	LNCaP.POLR2A.etoh.-.rep2.U
LNCaP	POLR2A	dht	-	rep2	1	U	SRR643602	SRX213870	SRX213872.1	LNCaP.POLR2A.dht.-.rep2	LNCaP.POLR2A.dht.-	Single	LNCaP.POLR2A.dht.-.rep2.U
LNCaP	H3K27Ac	etoh	4h	rep1	1	U	SRR1015787	SRX367190	SRX367193.1	LNCaP.H3K27Ac.etoh.4h.rep1	LNCaP.H3K27Ac.etoh.4h	Single	LNCaP.H3K27Ac.etoh.4h.rep1.U
LNCaP	H3K27Ac	dht	4h	rep1	1	U	SRR1015788	SRX367191	SRX367193.1	LNCaP.H3K27Ac.dht.4h.rep1	LNCaP.H3K27Ac.dht.4h	Single	LNCaP.H3K27Ac.dht.4h.rep1.U
LNCaP	AR	dht	2h	rep1	1	U	SRR3728821	SRX1885175	SRX1885197.1	LNCaP.AR.dht.2h.rep1	LNCaP.AR.dht.2h	Single	LNCaP.AR.dht.2h.rep1.U
LNCaP	AR	dht	2h	rep1	2	U	SRR3728822	SRX1885175	SRX1885198.2	LNCaP.AR.dht.2h.rep1	LNCaP.AR.dht.2h	Single	LNCaP.AR.dht.2h.rep1.U
LNCaP	AR	dht	2h	rep2	1	U	SRR3728823	SRX1885176	SRX1885197.1	LNCaP.AR.dht.2h.rep2	LNCaP.AR.dht.2h	Single	LNCaP.AR.dht.2h.rep2.U
LNCaP	AR	dht	2h	rep2	2	U	SRR3728824	SRX1885176	SRX1885198.2	LNCaP.AR.dht.2h.rep2	LNCaP.AR.dht.2h	Single	LNCaP.AR.dht.2h.rep2.U
LNCaP	AR	dmso	2h	rep1	1	U	SRR3728825	SRX1885177	SRX1885197.1	LNCaP.AR.dmso.2h.rep1	LNCaP.AR.dmso.2h	Single	LNCaP.AR.dmso.2h.rep1.U
LNCaP	AR	dmso	2h	rep1	2	U	SRR3728826	SRX1885177	SRX1885198.2	LNCaP.AR.dmso.2h.rep1	LNCaP.AR.dmso.2h	Single	LNCaP.AR.dmso.2h.rep1.U
LNCaP	AR	dmso	2h	rep2	1	U	SRR3728827	SRX1885178	SRX1885197.1	LNCaP.AR.dmso.2h.rep2	LNCaP.AR.dmso.2h	Single	LNCaP.AR.dmso.2h.rep2.U
LNCaP	AR	dmso	2h	rep2	2	U	SRR3728828	SRX1885178	SRX1885198.2	LNCaP.AR.dmso.2h.rep2	LNCaP.AR.dmso.2h	Single	LNCaP.AR.dmso.2h.rep2.U
LNCaP	H3K4me1	r1881	4h	rep1	1	U	SRR7192350	SRX4108921	SRX4108929.1	LNCaP.H3K4me1.r1881.4h.rep1	LNCaP.H3K4me1.r1881.4h	Single	LNCaP.H3K4me1.r1881.4h.rep1.U
LNCaP	H3K4me1	etoh	4h	rep1	1	U	SRR7192352	SRX4108923	SRX4108929.1	LNCaP.H3K4me1.etoh.4h.rep1	LNCaP.H3K4me1.etoh.4h	Single	LNCaP.H3K4me1.etoh.4h.rep1.U
LNCaP	H3K4me3	r1881	4h	rep1	1	U	SRR7192354	SRX4108925	SRX4108929.1	LNCaP.H3K4me3.r1881.4h.rep1	LNCaP.H3K4me3.r1881.4h	Single	LNCaP.H3K4me3.r1881.4h.rep1.U
LNCaP	H3K4me3	etoh	4h	rep1	1	U	SRR7192356	SRX4108927	SRX4108929.1	LNCaP.H3K4me3.etoh.4h.rep1	LNCaP.H3K4me3.etoh.4h	Single	LNCaP.H3K4me3.etoh.4h.rep1.U
